City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
387,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
389,Hualmay,PE,76.01,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
394,Gusau,NG,76.51,clear sky,12.1628,6.6614,Dr. Salisu Ibrahim
398,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
401,Necochea,AR,87.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
405,Rawson,AR,80.11,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
407,Vallenar,CL,85.19,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
413,San Isidro,PE,75.2,scattered clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
415,Caravelas,BR,81.27,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
419,Vanimo,PG,77.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
420,Port Hedland,AU,82.4,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
423,Torit,SS,83.48,overcast clouds,4.4133,32.5678,Diplomat Guest House
425,Camapua,BR,94.03,few clouds,-19.5314,-54.0439,Comercial Estrela
426,Kulhudhuffushi,MV,81.91,heavy intensity rain,6.6221,73.07,Haajy Guest House 1
430,Fomboni,KM,83.82,broken clouds,-12.28,43.7425,Auberge les abou
434,Mozarlandia,BR,90.81,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
435,Kuala Terengganu,MY,80.6,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
437,Pochutla,MX,84.2,few clouds,15.7432,-96.4661,Hotel Posada San Jose
445,Saint-Leu,RE,77.0,clear sky,-21.15,55.2833,La Caz Oceane
446,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
450,Escarcega,MX,77.99,clear sky,18.6089,-90.7454,Hotel Maria Isabel
460,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
461,Yaan,NG,84.54,clear sky,7.3833,8.5667,
463,Kouango,CF,78.71,clear sky,4.9934,19.9619,
466,Calderitas,MX,75.2,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
471,Pilar,BR,86.0,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
477,Prainha,BR,89.37,overcast clouds,-1.8,-53.48,Casa Rocha
485,Howard Springs,AU,77.0,overcast clouds,-12.497,131.047,buffalo beach hostel
486,Buchanan,LR,82.4,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
489,Buloh Kasap,MY,75.2,light rain,2.5536,102.764,Teratak Ixora Segamat
491,Kavaratti,IN,82.2,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
492,Beaufort,MY,75.2,light rain,5.3473,115.7455,The Gem Hotel Beaufort
493,Iquique,CL,75.2,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
495,Gizo,SB,83.53,broken clouds,-8.103,156.8419,Imagination Island
497,Santa Marta,CO,88.0,light rain,11.2408,-74.199,Hotel La Ballena Azul
499,Ambanja,MG,75.72,light rain,-13.6833,48.45,Hotel Salama and Fast Food
500,Sungairaya,ID,77.2,overcast clouds,0.7,108.9,Mess P.Milu
501,Amahai,ID,82.99,light rain,-3.3333,128.9167,HOTEL ISABELA
502,Lima,PE,75.2,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
506,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
507,Ambon,ID,82.99,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
510,Paita,PE,86.0,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
513,Aquiraz,BR,86.0,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
514,Pontianak,ID,77.0,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
517,Shahapur,IN,78.8,mist,19.45,73.3333,OYO 68690 Hotel New Food Hub
537,Pozo Colorado,PY,93.72,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
542,Formosa Do Rio Preto,BR,87.75,moderate rain,-11.0483,-45.1931,Porto Center Hotel
544,San Luis,AR,84.31,few clouds,-33.295,-66.3356,Huarpes Hotel
545,Sri Aman,MY,77.0,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
547,Neiafu,TO,80.6,light rain,-18.65,-173.9833,Mystic Sands
550,Kahului,US,75.2,light rain,20.8947,-156.47,Maui Seaside Hotel
551,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
559,Grand-Santi,GF,79.48,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
561,Balao,EC,84.2,broken clouds,-2.9167,-79.8167,Gilson Stalin Lucas S
570,Sinnamary,GF,79.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
575,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
585,Ullal,IN,77.0,mist,12.8,74.85,AK INTERNATIONAL LODGE
589,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
594,Grand Baie,MU,79.0,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
598,Morant Bay,JM,84.2,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
599,Finschhafen,PG,81.03,broken clouds,-6.6024,147.8681,Cossam Guest House
600,Ambulu,ID,76.71,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
602,Kyabe,TD,79.38,broken clouds,9.4515,18.9449,
605,Santiago Del Estero,AR,91.4,broken clouds,-27.7951,-64.2615,Hotel Urbano
612,Coruripe,BR,81.37,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
614,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
615,Cairns,AU,77.0,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
620,Rodrigues Alves,BR,89.6,moderate rain,-7.738,-72.6509,Pousada Aconchego
625,Jardim,BR,94.44,clear sky,-21.4803,-56.1381,Hotel Estância
628,Kirakira,SB,81.18,light rain,-10.4544,161.9205,SanBiz Lodge
632,Thinadhoo,MV,81.27,overcast clouds,0.5333,72.9333,
635,Poum,NC,81.99,light rain,-20.2333,164.0167,Gîte kajeon
645,Lae,PG,76.64,light rain,-6.7221,146.9847,Phils Hotel
646,Naifaru,MV,81.99,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
649,Brazzaville,CG,80.6,moderate rain,-4.2658,15.2832,Hotel Murex
651,Ayolas,PY,93.43,light rain,-27.4,-56.9,Hotel Ayolas
652,Bom Jesus,BR,88.66,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
653,Playas,EC,78.33,few clouds,-2.6333,-80.3833,Hostal Promenade
660,Male,MV,82.4,broken clouds,4.1748,73.5089,Hotel Octave Maldives
668,Araouane,ML,77.7,clear sky,18.9048,-3.5265,
672,Balabac,PH,81.73,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
675,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
681,Araguaina,BR,83.97,moderate rain,-7.1911,-48.2072,Hotel São Vicente
690,Bahia Blanca,AR,90.28,clear sky,-38.7196,-62.2724,Hotel Argos
691,Lasem,ID,76.5,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
693,Sibolga,ID,75.27,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
695,Birnin Kebbi,NG,81.39,broken clouds,12.4539,4.1975,Saffar Guest Inn Ltd
697,Vao,NC,78.3,light rain,-22.6667,167.4833,Hotel Kou-Bugny
702,Itarema,BR,83.17,clear sky,-2.9248,-39.9167,Windvillage
