City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cidreira,BR,2020-12-27 17:37:19,-30.18,-50.21,77.31,76,70,18.7
70,Lebu,CL,2020-12-27 17:37:04,-37.62,-73.65,65.41,74,12,9.8
71,Ayan,RU,2020-12-27 17:39:24,56.45,138.17,-27.8,73,4,14.36
72,Inta,RU,2020-12-27 17:39:24,66.03,60.17,-14.06,80,100,16.11
73,Hobart,AU,2020-12-27 17:36:45,-42.88,147.33,45.0,81,22,8.05
74,Mataura,NZ,2020-12-27 17:37:10,-46.19,168.86,44.01,88,5,3.0
75,Busselton,AU,2020-12-27 17:33:30,-33.65,115.33,54.0,70,0,1.01
76,Hermanus,ZA,2020-12-27 17:36:48,-34.42,19.23,66.99,68,33,1.99
77,Saint-Philippe,RE,2020-12-27 17:37:57,-21.36,55.77,80.6,74,20,5.82
78,Leshukonskoye,RU,2020-12-27 17:39:25,64.9,45.76,-1.34,93,97,4.74
79,Provideniya,RU,2020-12-27 17:37:16,64.38,-173.3,8.62,92,91,26.04
80,Mugur-Aksy,RU,2020-12-27 17:39:26,50.35,90.5,-22.95,69,4,6.73
81,Banjar,ID,2020-12-27 17:39:26,-8.19,114.97,78.8,88,75,5.82
82,Souillac,MU,2020-12-27 17:39:26,-20.52,57.52,78.8,83,75,10.29
83,Tessalit,ML,2020-12-27 17:37:35,20.2,1.01,68.77,21,59,9.44
84,Cape Town,ZA,2020-12-27 17:34:26,-33.93,18.42,68.0,56,20,19.46
85,Bambous Virieux,MU,2020-12-27 17:37:14,-20.34,57.76,79.0,83,75,10.29
86,Seoul,KR,2020-12-27 17:35:08,37.57,126.98,41.0,93,90,2.28
87,Coihueco,CL,2020-12-27 17:38:29,-36.62,-71.83,78.8,47,0,5.82
88,Gisborne,NZ,2020-12-27 17:39:27,-38.65,178.0,53.01,93,76,1.99
89,Chipinge,ZW,2020-12-27 17:38:22,-20.19,32.62,67.84,97,70,6.64
90,Mar Del Plata,AR,2020-12-27 17:37:22,-38.0,-57.56,78.01,83,90,14.99
91,Norman Wells,CA,2020-12-27 17:38:05,65.28,-126.83,-13.0,83,20,3.36
92,Necochea,AR,2020-12-27 17:38:32,-38.55,-58.74,84.36,38,0,21.83
93,Mutare,ZW,2020-12-27 17:39:28,-18.97,32.67,67.86,97,47,4.52
